id,fecha,sucursal,texto
1,11/30/2024,Norte,Perfect spot for a date night. Wine selection is great.
2,11/1/2024,Este,La pasta carbonara es simplemente espectacular.
3,11/19/2024,Este,La ensalada estaba fresca pero le faltaba aderezo.
4,11/14/2024,Oeste,"No recomiendo este lugar, la higiene deja mucho que desear."
5,11/2/2024,Sur,Small portions and very oily food. Not worth it.
6,11/5/2024,Norte,El aire acondicionado no servía y el calor era insoportable.
7,11/6/2024,Este,"Servicio aceptable, aunque tardaron un poco en traer la cuenta."
8,11/28/2024,Este,Eviten este lugar si no quieren pasar un mal rato.
9,11/5/2024,Norte,"El sushi más fresco de la zona, excelente calidad."
10,11/10/2024,Centro,"Amazing experience, the steak was cooked to perfection."
11,11/1/2024,Norte,Comida deliciosa y el ambiente es muy acogedor.
12,11/9/2024,Este,¡La mejor hamburguesa que he probado en San José!
13,11/6/2024,Sur,"Comida normal, nada del otro mundo pero cumple."
14,11/7/2024,Oeste,The pizza was authentic and the crust was perfect.
15,11/24/2024,Oeste,Excellent service and very friendly staff. Highly recommended.
16,11/6/2024,Sur,El lugar está bien decorado pero hacía un poco de frío.
17,11/20/2024,Norte,"Servicio rápido y eficiente, ideal para almuerzos de trabajo."
18,11/23/2024,Sur,Best coffee in town and the pastries are divine.
19,11/22/2024,Sur,Cold burger and wrong order. Terrible experience.
20,11/12/2024,Este,Llamamos para reservar y no tenían nuestra mesa lista.
21,11/22/2024,Centro,Great value for money. The lunch special is a steal.
22,11/23/2024,Este,"It was a busy night, so service was a bit slow."
23,11/11/2024,Sur,"Average experience, might come back if I'm nearby."
24,11/30/2024,Norte,La porción es generosa aunque el sabor es algo plano.
25,11/22/2024,Centro,"Comida excesivamente salada, no pude terminar mi plato."
26,11/18/2024,Centro,"Todo estuvo perfecto, desde la entrada hasta el postre."
27,11/20/2024,Este,Very loud environment and the food took forever to arrive.
28,11/29/2024,Oeste,Too expensive for the quality of food they serve.
29,11/20/2024,Centro,The chicken was undercooked. Very disappointed.
30,11/29/2024,Oeste,"Worst customer service ever, the waiter was very rude."
31,11/14/2024,Sur,Very clean restaurant and modern decor. 5 stars.
32,11/9/2024,Oeste,El lugar estaba sucio y las mesas pegajosas. No vuelvo.
33,11/8/2024,Sur,"Restaurante estándar, bien para una comida rápida."
34,11/25/2024,Oeste,The drinks were watered down and overpriced.
35,11/21/2024,Este,"Decent place, average food, prices are fair."
36,11/6/2024,Oeste,Un lugar maravilloso con música en vivo muy agradable.
37,11/28/2024,Sur,Pedí sin cebolla y me trajeron el plato lleno de ella.
38,11/14/2024,Norte,"Increíble atención, volveré pronto con mi familia."
39,11/6/2024,Oeste,"Pésimo servicio, esperamos una hora por la comida."
40,11/23/2024,Este,"The food was okay, but the music was a bit too loud."
,,Sur,"Las mejores hamburguesas, espero volver pronto"
,,Oeste,Buenas hamburguesas y acompanamientos aunque estuvo larga la espera
